122.154.232.101;[22/Sep/2014:02:45:14 -0400];"GET /qxqx/qxq/qx.php HTTP/1.1";297
122.154.232.101;[22/Sep/2014:02:45:15 -0400];"GET /phpMyAdmin/scripts/setup.php HTTP/1.1";310
122.154.232.101;[22/Sep/2014:02:45:15 -0400];"GET /pma/scripts/setup.php HTTP/1.1";303
122.154.232.101;[22/Sep/2014:02:45:16 -0400];"GET /myadmin/scripts/setup.php HTTP/1.1";307
103.245.206.154;[22/Sep/2014:03:54:16 -0400];"GET /favicon.ico HTTP/1.1";1150
121.110.50.215;[22/Sep/2014:05:20:53 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
121.110.50.215;[22/Sep/2014:05:20:53 -0400];"GET /cs/cs-style.css HTTP/1.1";795
121.110.50.215;[22/Sep/2014:05:20:54 -0400];"GET /favicon.ico HTTP/1.1";1150
180.76.6.135;[22/Sep/2014:06:49:24 -0400];"GET / HTTP/1.1";13520
220.181.108.97;[22/Sep/2014:07:07:58 -0400];"GET / HTTP/1.1";13520
192.99.38.84;[22/Sep/2014:08:19:50 -0400];"GET /mspapers/sources/robert-eyer.pdf HTTP/1.1";527791
71.207.36.104;[22/Sep/2014:09:13:28 -0400];"GET /comp519/ HTTP/1.1";5424
71.207.36.104;[22/Sep/2014:09:13:28 -0400];"GET /favicon.ico HTTP/1.1";1150
71.207.36.104;[22/Sep/2014:09:13:28 -0400];"GET /favicon.ico HTTP/1.1";1150
71.207.36.104;[22/Sep/2014:09:13:32 -0400];"GET /comp519/hw3.html HTTP/1.1";4327
108.170.212.228;[22/Sep/2014:10:20:18 -0400];"GET /comp416/lectures/slides02-before.pdf HTTP/1.1";80387
108.170.212.228;[22/Sep/2014:10:20:28 -0400];"GET /comp416/lectures/slides02-before.pdf HTTP/1.1";80387
216.109.10.205;[22/Sep/2014:10:58:22 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
216.109.10.205;[22/Sep/2014:10:58:22 -0400];"GET /cs/cs-style.css HTTP/1.1";795
216.109.10.205;[22/Sep/2014:10:58:22 -0400];"GET /favicon.ico HTTP/1.1";1150
172.56.21.43;[22/Sep/2014:11:45:20 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
172.56.21.43;[22/Sep/2014:11:45:20 -0400];"GET /cs/cs-style.css HTTP/1.1";795
146.186.89.8;[22/Sep/2014:12:35:32 -0400];"GET /additional-syllabus-info/ HTTP/1.1";13187
146.186.89.8;[22/Sep/2014:12:35:32 -0400];"GET /additional-syllabus-info/syllabus-style.css HTTP/1.1";797
146.186.64.170;[22/Sep/2014:13:14:17 -0400];"GET /cmpsc487/ HTTP/1.1";32707
146.186.64.170;[22/Sep/2014:13:14:17 -0400];"GET /favicon.ico HTTP/1.1";1150
146.186.64.170;[22/Sep/2014:13:14:37 -0400];"GET /cmpsc487/HW2_UseCase.pdf HTTP/1.1";82422
202.46.54.38;[22/Sep/2014:13:15:39 -0400];"GET / HTTP/1.1";13520
146.186.64.170;[22/Sep/2014:13:16:09 -0400];"GET /cmpsc472/ HTTP/1.1";9185
146.186.64.170;[22/Sep/2014:13:16:11 -0400];"GET /cmpsc472/ex1-topics.html HTTP/1.1";5100
180.76.6.135;[22/Sep/2014:13:31:01 -0400];"GET /cs/ HTTP/1.1";7850
82.145.220.181;[22/Sep/2014:13:46:54 -0400];"GET /mspapers/sources/xiaoyu-sun.pdf HTTP/1.1";1883637
208.54.39.140;[22/Sep/2014:14:26:27 -0400];"GET /cs/csdegree.html HTTP/1.1";21236
208.54.39.140;[22/Sep/2014:14:26:27 -0400];"GET /cs/cs-style.css HTTP/1.1";795
208.54.39.140;[22/Sep/2014:14:26:28 -0400];"GET /favicon.ico HTTP/1.1";1150
146.186.252.230;[22/Sep/2014:15:20:35 -0400];"GET / HTTP/1.1";13520
146.186.252.230;[22/Sep/2014:15:20:35 -0400];"GET /index-style.css HTTP/1.1";1498
146.186.252.230;[22/Sep/2014:15:20:35 -0400];"GET /switch-menu.js HTTP/1.1";2685
146.186.252.230;[22/Sep/2014:15:20:35 -0400];"GET /graphics/Shield.gif HTTP/1.1";1510
146.186.252.230;[22/Sep/2014:15:20:35 -0400];"GET /graphics/logo16.png HTTP/1.1";38873
146.186.252.230;[22/Sep/2014:15:20:35 -0400];"GET /favicon.ico HTTP/1.1";1150
146.186.252.230;[22/Sep/2014:15:20:39 -0400];"GET /math/math-students.html HTTP/1.1";12812
146.186.252.230;[22/Sep/2014:15:20:39 -0400];"GET /math/math-style.css HTTP/1.1";877
146.186.252.230;[22/Sep/2014:15:21:38 -0400];"GET /cs/csstudents.html HTTP/1.1";32309
146.186.252.230;[22/Sep/2014:15:21:38 -0400];"GET /cs/cs-style.css HTTP/1.1";795
146.186.252.230;[22/Sep/2014:15:31:34 -0400];"GET /cs/csstudents.html HTTP/1.1";32309
75.102.94.199;[22/Sep/2014:16:13:24 -0400];"GET /cmpsc444/VM_CMPSC444_v1.zip HTTP/1.1";1269747848
75.102.94.199;[22/Sep/2014:16:22:24 -0400];"GET /comp505/ HTTP/1.1";1160
75.102.94.199;[22/Sep/2014:16:22:24 -0400];"GET /comp505/course-style.css HTTP/1.1";590
75.102.94.199;[22/Sep/2014:16:22:24 -0400];"GET /favicon.ico HTTP/1.1";1150
75.102.94.199;[22/Sep/2014:16:22:28 -0400];"GET /comp505/505sched.html HTTP/1.1";6431
75.102.94.199;[22/Sep/2014:16:23:02 -0400];"GET /comp505/index.html HTTP/1.1";1160
